Symbol,Market Cap,Short Float,Shs Float,Shs Outstand
SNBR,2.70B,15.98%,23.34M,25.38M
SNCR,287.61M,14.65%,39.89M,42.74M
SNCY,2.18B,5.20%,22.15M,48.50M
SND,148.19M,8.78%,22.35M,41.63M
SNDL,1.83B,13.66%,1.86B,1.86B
SNDX,858.22M,16.99%,45.41M,51.50M
SNES,20.10M,1.51%,11.55M,12.16M
SNFCA,147.27M,6.82%,7.20M,19.12M
SNGX,44.10M,2.39%,39.98M,40.08M
SNMP,51.59M,0.43%,9.52M,38.92M
SNOA,15.17M,0.49%,2.05M,2.08M
SNPS,42.28B,1.05%,151.61M,152.72M
SNPX,32.49M,3.30%,2.99M,3.51M
SNRHU,-,0.00%,41.40M,-
SNSE,277.66M,1.50%,11.70M,18.91M
SNY,132.14B,0.21%,2.25B,2.52B
SOFI,14.51B,46.69%,60.57M,100.62M
SOHO,45.71M,1.63%,12.41M,14.62M
SOHU,731.88M,3.37%,28.28M,39.51M
SOLO,456.31M,18.95%,95.79M,103.59M
SOLY,486.66M,11.83%,11.55M,21.12M
SONM,36.30M,0.81%,62.85M,66.32M
SONN,33.60M,3.91%,19.51M,22.25M
SONO,4.44B,6.72%,118.14M,121.88M
SOXX,-,-,-,-
SP,722.01M,2.18%,22.89M,23.21M
SPBC,-,-,-,-
SPCB,27.00M,5.97%,15.42M,17.39M
SPCE,10.40B,20.26%,169.44M,234.19M
SPI,161.08M,4.74%,16.23M,17.01M
SPKAU,-,-,-,-
SPKBU,-,-,-,-
SPLK,23.12B,4.08%,162.99M,163.17M
SPNE,773.80M,1.34%,29.47M,33.16M
SPNS,1.45B,1.41%,28.92M,54.69M
SPOK,183.86M,3.90%,18.70M,19.27M
SPPI,617.02M,10.55%,137.35M,145.37M
SPRB,262.73M,2.12%,22.76M,23.28M
SPRO,486.17M,11.56%,26.95M,29.41M
SPRT,95.70M,34.05%,15.08M,20.20M
SPT,4.77B,3.11%,40.74M,53.43M
SPTKU,-,0.06%,17.01M,-
SPTN,692.25M,11.28%,35.18M,36.24M
SPWH,778.86M,8.90%,42.79M,43.69M
SPWR,4.99B,19.44%,79.25M,171.20M
SQBG,13.66M,12.97%,0.81M,1.65M
SQFT,38.78M,0.27%,8.85M,9.51M
SQQQ,-,-,-,-
SRAC,300.54M,17.38%,12.34M,22.11M
SRAX,125.69M,3.20%,20.65M,23.19M
SRCL,6.62B,1.27%,91.60M,91.60M
SRET,-,-,-,-
SREV,134.30M,4.70%,95.03M,97.23M
SRGA,193.80M,5.07%,97.89M,98.11M
SRNE,3.16B,19.91%,255.34M,280.60M
SRNG,1.73B,1.24%,172.50M,172.50M
SRNGU,-,0.09%,172.50M,-
SRPT,6.24B,8.76%,75.94M,79.45M
SRRK,1.02B,7.98%,33.09M,36.38M
SRSAU,-,0.01%,15.00M,-
SRTS,67.39M,0.99%,12.48M,16.46M
SSAAU,-,-,-,-
SSB,5.83B,2.09%,70.04M,71.01M
SSKN,52.70M,1.15%,20.48M,33.80M
SSNC,18.74B,0.86%,223.61M,257.00M
SSNT,61.72M,2.25%,1.89M,4.76M
SSP,1.71B,5.54%,57.81M,81.90M
SSRM,3.42B,3.19%,219.31M,219.79M
SSSS,323.43M,-,-,20.49M
SSYS,1.60B,-,-,58.62M
STAF,24.20M,1.02%,33.35M,39.17M
STCN,130.00M,0.72%,56.20M,62.26M
STEP,3.27B,1.12%,39.90M,94.82M
STIM,400.34M,6.25%,23.94M,25.15M
STKL,1.29B,1.92%,92.09M,96.12M
STKS,332.95M,2.11%,21.37M,29.17M
STLD,12.87B,2.13%,200.53M,211.01M
STMP,3.72B,4.38%,17.63M,18.36M
STNE,21.19B,3.69%,220.03M,309.62M
STOK,1.25B,7.25%,33.53M,36.64M
STRA,1.90B,5.80%,22.35M,23.97M
STRL,724.88M,5.58%,27.46M,28.28M
STRM,73.40M,0.90%,36.20M,37.50M
STRO,865.99M,8.22%,41.18M,45.91M
STRR,14.71M,3.59%,4.65M,4.92M
STSA,219.40M,4.53%,15.49M,21.98M
STTK,1.21B,3.86%,32.16M,41.77M
STWO,309.67M,1.22%,25.00M,31.25M
STWOU,-,0.00%,24.81M,-
STX,19.83B,3.60%,227.61M,233.00M
SUMO,2.21B,3.17%,103.73M,104.03M
SUMR,26.64M,2.12%,1.51M,2.13M
SUNW,278.07M,17.73%,26.80M,27.05M
SUPN,1.66B,16.48%,51.13M,52.93M
SURF,320.53M,11.53%,39.18M,41.62M
SUSB,-,-,-,-
SUSC,-,-,-,-
SUSL,-,-,-,-
SV,288.10M,4.05%,23.00M,28.75M
SVAC,929.68M,1.31%,40.37M,50.53M
SVACU,-,0.00%,40.37M,-
SVBI,153.38M,0.07%,9.93M,12.85M
SVC,2.11B,7.30%,162.62M,164.50M
SVFA,744.88M,0.58%,57.85M,75.47M
SVFAU,-,0.00%,57.85M,-
SVFB,293.62M,0.03%,23.65M,27.54M
SVFC,407.10M,0.02%,32.93M,41.04M
SVOK,319.24M,0.51%,25.88M,32.34M
SVOKU,-,0.01%,25.22M,-
SVRA,186.40M,5.50%,59.80M,76.99M
SVSVU,-,0.00%,19.56M,-
SVVC,39.43M,-,-,6.89M
SWAV,6.61B,6.38%,32.79M,34.80M
SWBI,1.70B,11.40%,46.43M,51.91M
SWETU,-,0.02%,27.42M,-
SWIM,3.84B,2.99%,91.41M,120.43M
SWIR,691.45M,1.43%,36.65M,36.74M
SWKS,31.20B,2.10%,164.55M,165.00M
SWTX,4.25B,9.41%,37.44M,48.23M
SXTC,21.99M,4.24%,11.96M,13.27M
SY,1.02B,25.86%,13.00M,106.75M
SYBX,214.69M,1.26%,35.11M,41.55M
SYKE,2.13B,1.30%,38.94M,39.64M
SYNA,5.41B,11.76%,34.85M,35.00M
SYNH,9.29B,7.37%,61.25M,104.27M
SYNL,94.46M,0.33%,7.69M,9.19M
SYPR,78.21M,3.37%,10.85M,21.39M
SYRS,350.08M,8.32%,58.80M,61.38M
TA,447.92M,3.56%,12.31M,14.23M
TACO,368.70M,2.92%,30.75M,36.76M
TAIT,29.08M,1.66%,3.03M,5.83M
TALS,581.23M,0.17%,14.12M,41.31M
TANH,50.60M,5.84%,26.43M,30.26M
TAOP,61.79M,2.86%,5.81M,7.67M
TARA,104.42M,3.42%,9.09M,11.23M
TARS,595.14M,2.05%,13.76M,20.34M
TASK,3.23B,2.36%,5.55M,99.84M
TAST,313.57M,3.98%,32.92M,50.34M
TATT,52.56M,0.76%,2.76M,8.88M
TBBK,1.34B,4.36%,52.27M,57.37M
TBCPU,-,0.02%,42.18M,-
TBIO,2.13B,10.02%,68.42M,75.19M
TBK,1.86B,4.02%,23.18M,24.68M
TBLA
TBLT,64.90M,0.80%,81.35M,81.61M
TBNK,244.49M,4.86%,7.86M,9.13M
TBPH,1.04B,5.69%,59.62M,64.49M
TBSAU,-,-,-,-
TC,59.99M,1.77%,0.20M,19.12M
TCACU,-,0.00%,20.00M,-
TCBI,3.27B,5.49%,49.96M,50.51M
TCBIO
TCDA,213.71M,8.54%,48.89M,50.25M
TCMD,1.04B,10.06%,18.74M,19.55M
TCOM,45.19B,2.64%,471.31M,604.60M
TCON,103.07M,4.03%,15.26M,15.48M
TCPC,807.66M,0.70%,57.36M,57.77M
TCRR,648.02M,7.86%,34.12M,37.06M
TCVA,411.00M,-,-,41.10M
TDAC,148.56M,18.94%,2.01M,8.09M
TDUP,2.57B,29.06%,14.89M,18.70M
TEAM,64.62B,3.52%,129.16M,250.28M
TECH,17.65B,1.24%,38.66M,38.86M
TEDU,153.81M,0.91%,41.77M,55.67M
TEKKU
TELL,1.91B,11.01%,311.92M,356.68M
TENB,4.29B,2.84%,99.49M,104.53M
TENX,52.21M,1.89%,8.71M,14.52M
TER,21.51B,2.65%,165.74M,166.49M
TERN,291.82M,-,-,15.16M
TETCU,-,15.98%,6.93M,-
TFFP,255.41M,1.70%,21.59M,23.14M
TFSL,5.69B,2.11%,47.93M,276.72M
TGA,138.70M,0.10%,69.28M,72.54M
TGLS,998.28M,5.40%,20.82M,47.67M
TGTX,5.75B,9.54%,119.81M,131.90M
TH,403.88M,5.92%,29.91M,96.17M
THCA,195.87M,0.40%,14.98M,21.99M
THCB,515.74M,9.10%,28.09M,35.47M
THCPU
THMA
THMAU,-,-,-,-
THMO,31.81M,6.20%,8.93M,11.45M
THRY,1.20B,1.49%,31.62M,36.15M
THTX,368.00M,0.25%,86.54M,94.60M
TIG,781.67M,1.57%,12.33M,51.15M
TIGO,4.14B,0.05%,101.10M,101.33M
TIGR,4.25B,5.34%,128.69M,141.88M
TIL,2.58B,3.20%,111.36M,128.74M
TILE,920.03M,2.12%,57.74M,58.73M
TIOAU,-,-,-,-
TIPT,310.64M,2.63%,20.54M,32.42M
TIRX,71.61M,2.74%,2.59M,11.62M
TITN,713.78M,4.12%,19.37M,22.17M
TKNO
TLC,241.10M,0.01%,36.43M,42.08M
TLGT,49.17M,0.33%,92.77M,92.82M
TLIS,269.67M,26.02%,7.91M,23.48M
TLMD,564.59M,2.98%,43.54M,75.81M
TLND,2.14B,5.47%,28.77M,32.22M
TLRY,8.01B,6.96%,426.68M,446.16M
TLS,2.19B,1.94%,46.88M,64.62M
TLSA,199.10M,0.14%,45.24M,93.95M
TLT,-,-,-,-
TMCI,1.61B,0.71%,32.87M,53.63M
TMDI,190.58M,2.72%,109.40M,109.53M
TMDX,938.87M,5.46%,25.69M,27.37M
TMKRU,-,-,-,-
TMPMU,-,0.02%,8.68M,-
TMTS,250.30M,0.86%,19.93M,25.00M
TMTSU
TMUS,181.22B,1.94%,696.14M,1.24B
TNDM,6.11B,5.81%,60.87M,62.45M
TNXP,368.80M,2.58%,326.28M,330.54M
TOMZ,49.59M,3.23%,10.21M,16.80M
TOPS,64.10M,6.75%,39.43M,39.73M
TOUR,273.11M,2.34%,33.06M,123.45M
TPIC,1.78B,10.78%,33.93M,36.60M
TPST,14.14M,13.54%,1.19M,1.27M
TPTX,3.81B,6.15%,47.41M,48.92M
TQQQ,-,-,-,-
TREE,2.89B,16.21%,11.48M,13.07M
TRHC,1.21B,11.62%,22.54M,23.01M
TRIB,61.51M,1.82%,15.85M,20.90M
TRIL,1.00B,11.45%,86.41M,103.14M
TRIN,379.15M,0.12%,25.48M,26.49M
TRIP,5.55B,14.45%,99.33M,136.00M
TRIT,544.88M,6.65%,76.87M,85.27M
TRKA,118.01M,0.17%,38.57M,42.45M
TRMB,20.69B,0.92%,249.74M,251.10M
TRMK,1.99B,1.98%,56.78M,63.40M
TRMR,1.36B,-,51.81M,68.10M
TRMT,50.23M,0.30%,8.19M,8.21M
TRONU,-,-,-,-
TROW,45.36B,2.62%,224.64M,227.70M
TRUE,570.09M,9.96%,88.84M,98.58M
TRUP,4.68B,8.94%,36.27M,39.70M
TRVG,1.20B,9.30%,26.11M,355.86M
TRVI,42.59M,0.61%,14.31M,19.42M
TRVN,278.11M,9.13%,162.06M,163.59M
TSBK,237.47M,5.11%,7.30M,8.33M
TSCO,21.65B,5.39%,114.36M,116.15M
TSEM,3.17B,0.42%,106.68M,107.94M
TSHA,796.40M,6.35%,21.81M,36.99M
TSIBU,-,0.00%,30.00M,-
TSLA,654.00B,5.08%,775.61M,963.33M
TSP,13.19B,3.95%,153.83M,210.71M
TSRI,19.09M,0.54%,0.67M,1.96M
TTCF,1.75B,31.36%,37.33M,79.42M
TTD,36.48B,4.24%,469.24M,472.82M
TTEK,6.72B,1.83%,53.41M,54.19M
TTGT,2.13B,7.86%,25.33M,28.14M
TTMI,1.54B,13.03%,100.73M,106.83M
TTNP,25.40M,5.84%,9.17M,9.29M
TTOO,177.10M,5.57%,143.13M,148.23M
TTSH
TTWO,20.70B,1.82%,113.67M,115.10M
TUEM,370.62M,1.30%,61.36M,86.19M
TUR,-,-,-,-
TUSK,209.21M,2.60%,34.61M,45.93M
TVAC,216.66M,0.20%,17.25M,21.56M
TVACU,-,0.00%,15.75M,-
TVTX,942.49M,11.84%,46.20M,56.27M
TVTY,1.34B,14.65%,42.97M,49.22M
TW,19.92B,2.00%,104.62M,199.06M
TWCT
TWCTU
TWLVU,-,0.02%,5.08M,-
TWNK,2.16B,18.43%,126.26M,130.84M
TWOU,3.08B,14.66%,72.61M,73.68M
TWST,6.43B,8.23%,44.33M,48.71M
TXG,20.85B,3.69%,82.14M,108.71M
TXMD,475.80M,15.44%,366.75M,393.19M
TXN,176.25B,1.41%,921.28M,922.00M
TXRH,6.78B,4.95%,66.36M,69.64M
TYHT,25.97M,1.19%,2.62M,3.19M
TYME,211.80M,7.23%,109.30M,154.17M
TZPSU,-,-,-,-
UAE,-,-,-,-
UAL,17.18B,3.69%,322.70M,323.58M
UBFO,139.32M,2.81%,13.60M,17.01M
UBSI,4.75B,2.66%,126.47M,128.64M
UBX,246.79M,6.63%,51.34M,54.17M
UCBI,2.81B,2.16%,86.22M,87.32M
UCTT,2.33B,2.71%,39.82M,40.60M
UEPS,261.88M,1.37%,52.73M,56.35M
UFPI,4.62B,1.67%,60.40M,61.84M
UGRO,99.95M,1.21%,7.50M,7.83M
UK,187.49M,0.32%,67.19M,77.94M
ULBI,132.84M,2.62%,15.47M,15.97M
ULCC,3.66B,7.37%,28.52M,220.76M
ULTA,19.11B,3.45%,53.25M,55.80M
UMPQ,4.15B,1.34%,217.40M,220.37M
UNIT,2.47B,4.91%,223.06M,231.47M
UNTY,230.54M,2.63%,7.32M,10.44M
UONE,71.61M,-,-,8.22M
UONEK,271.52M,2.53%,22.56M,48.46M
UPC,66.36M,-,-,21.00M
UPLD,1.25B,7.07%,25.65M,29.97M
UPST,9.53B,16.55%,61.42M,73.63M
UPWK,7.20B,4.31%,113.48M,125.28M
URBN,4.03B,8.00%,60.03M,98.11M
USCR,1.26B,4.79%,16.21M,16.80M
USEG,22.00M,3.76%,3.26M,3.92M
USIG,-,-,-,-
USIO,162.63M,0.60%,17.77M,19.93M
USMC,-,-,-,-
USOI,-,-,-,-
USWS,100.90M,4.94%,55.03M,78.98M
USXF,-,-,-,-
UTHR,8.27B,4.01%,43.82M,44.60M
UTME,91.44M,-,-,8.27M
UTSI,55.40M,1.37%,10.82M,36.07M
UVSP,786.52M,1.31%,28.78M,29.30M
UXIN,1.12B,2.94%,183.83M,369.95M
VACC,513.21M,-,-,34.33M
VACQ
VACQU,-,0.05%,26.80M,-
VAQC,445.50M,-,-,45.00M
VBIV,871.92M,17.65%,190.19M,251.29M
VBLT,127.79M,4.93%,44.11M,52.11M
VBTX,1.77B,1.60%,47.63M,49.39M
VC,3.46B,4.78%,27.75M,27.90M
VCEL,2.44B,8.72%,45.82M,45.98M
VCIT,-,-,-,-
VCKAU,-,0.00%,14.25M,-
VCLT,-,-,-,-
VCNX,79.90M,3.26%,24.33M,25.22M
VCSH,-,-,-,-
VCVC,251.80M,19.14%,15.09M,25.16M
VCVCU,-,0.00%,16.73M,-
VCYT,2.69B,6.62%,66.73M,67.25M
VECO,1.17B,6.98%,49.24M,50.18M
VECT,398.78M,1.27%,4.66M,35.86M
VELOU,-,0.04%,22.85M,-
VENAR
VENAU,-,0.01%,4.32M,-
VEON,3.19B,3.25%,907.67M,1.75B
VERB,120.79M,7.25%,54.72M,63.37M
VERI,659.93M,12.06%,27.00M,32.17M
VERO,173.01M,2.92%,50.24M,53.74M
VERU,650.22M,4.08%,59.49M,75.17M
VERV,2.33B,-,38.21M,46.44M
VERX,3.12B,4.71%,26.39M,146.57M
VERY,136.98M,3.58%,1.91M,14.88M
VFF,854.71M,8.74%,70.51M,81.25M
VG,3.63B,8.19%,239.78M,249.64M
VGIT,-,-,-,-
VGLT,-,-,-,-
VGSH,-,-,-,-
VIAC,29.18B,7.72%,593.95M,622.00M
VIACA
VIACP,-,0.21%,580.14M,-
VIAV,4.01B,6.21%,226.61M,228.70M
VIEW,1.83B,22.82%,52.74M,55.50M
VIH,260.32M,24.18%,15.55M,25.92M
VIHAU
VIIAU,-,0.01%,23.00M,-
VINO,36.02M,0.22%,6.62M,7.60M
VINP,806.54M,1.98%,29.22M,57.61M
VIOT,545.52M,2.13%,34.50M,69.29M
VIR,5.66B,7.97%,113.06M,127.74M
VIRI,52.83M,1.38%,7.07M,8.33M
VIRT,5.31B,3.52%,118.60M,122.06M
VIRX,464.26M,6.52%,14.37M,15.17M
VISL,125.10M,12.05%,36.43M,41.70M
VITL,802.55M,15.72%,27.12M,39.54M
VIVE,30.39M,5.07%,10.59M,11.01M
VIVO,973.26M,11.31%,43.09M,43.24M
VKTX,494.40M,14.10%,70.20M,74.97M
VLATU,-,-,-,-
VLDR,2.05B,13.36%,104.03M,189.22M
VLON,36.71M,1.14%,3.10M,5.71M
VLY,5.49B,1.52%,398.61M,405.15M
VMAC
VMACU
VMAR,80.70M,1.16%,3.47M,8.21M
VMBS,-,-,-,-
VMD,286.14M,5.13%,35.11M,39.58M
VMEO,8.10B,1.57%,79.53M,162.96M
VNDA,1.18B,9.23%,54.11M,55.15M
VNET,3.20B,7.70%,93.85M,143.42M
VNOM,1.24B,1.78%,56.57M,65.36M
VNQI,-,-,-,-
VNTR,497.68M,0.93%,54.26M,107.10M
VOD,46.97B,0.51%,2.79B,2.96B
VONE,-,-,-,-
VONG,-,-,-,-
VONV,-,-,-,-
VOR,744.89M,-,-,22.26M
VOSO
VOSOU,-,-,-,-
VOXX,334.07M,6.52%,14.89M,24.22M
VPCBU,-,-,-,-
VRA,418.83M,3.12%,25.55M,33.59M
VRAR
VRAY,1.07B,6.56%,156.18M,160.14M
VRCA,337.72M,20.72%,9.80M,25.60M
VRDN,150.99M,1.57%,5.59M,6.34M
VREX,1.07B,11.24%,39.01M,39.20M
VRIG,-,-,-,-
VRM,5.80B,9.59%,114.79M,135.50M
VRME,30.92M,2.26%,6.83M,7.43M
VRNS,6.14B,4.94%,103.93M,106.15M
VRNT,2.93B,10.69%,63.05M,65.66M
VRPX,23.18M,2.72%,2.06M,3.94M
VRRM,2.51B,5.39%,135.21M,162.30M
VRSK,28.66B,1.43%,160.38M,162.64M
VRSN,25.81B,1.19%,111.06M,113.13M
VRTX,52.34B,1.75%,258.52M,259.37M
VSAT,3.62B,17.18%,47.22M,68.66M
VSTA,652.86M,6.24%,18.57M,83.01M
VSTM,699.68M,6.25%,167.71M,171.59M
VTAQ,214.52M,0.11%,17.27M,19.31M
VTAQR
VTAQU,-,0.04%,3.47M,-
VTC,-,-,-,-
VTGN,660.30M,5.81%,112.59M,144.88M
VTIP,-,-,-,-
VTIQU,302.62M,-,-,29.64M
VTNR,622.99M,6.41%,36.53M,47.71M
VTRS,17.83B,2.47%,1.20B,1.21B
VTRU,390.55M,0.10%,21.61M,23.06M
VTSI,82.63M,0.88%,8.20M,10.78M
VTVT,184.10M,10.72%,22.52M,56.47M
VTWO,-,-,-,-
VUZI,1.14B,19.43%,58.66M,63.07M
VVOS,109.32M,0.29%,17.17M,18.21M
VVPR,124.47M,2.22%,7.50M,17.05M
VWE,717.74M,9.54%,18.15M,45.00M
VWOB,-,-,-,-
VWTR,246.50M,2.78%,18.12M,18.54M
VXRT,938.96M,21.04%,114.75M,115.42M
VXUS,-,-,-,-
VYGR,153.88M,6.39%,32.44M,37.50M
VYMI,-,-,-,-
VYNE,178.31M,9.17%,43.48M,48.87M
VYNT,108.41M,2.58%,26.49M,28.99M
WAFD,2.31B,3.55%,71.42M,75.36M
WAFDP
WAFU,37.18M,10.88%,1.18M,4.38M
WALDU,-,0.30%,4.81M,-
WATT,172.19M,8.94%,60.35M,61.57M
WAVE,82.66M,-,-,4.40M
WB,12.05B,22.63%,55.63M,227.77M
WBA,42.10B,1.79%,715.24M,864.70M
WBND,-,-,-,-
WCLD,-,-,-,-
WDAY,58.17B,4.23%,187.21M,243.74M
WDC,21.72B,1.72%,304.83M,306.00M
WEN,5.13B,3.47%,187.66M,223.33M
WERN,3.04B,4.57%,61.60M,67.93M
WETF,951.42M,10.35%,111.44M,145.65M
WFRD,1.33B,0.08%,65.29M,70.00M
WHLM,25.89M,0.11%,3.60M,5.16M
WHLR,49.62M,1.35%,7.13M,9.71M
WIMI,438.74M,6.54%,46.20M,86.71M
WING,4.65B,7.27%,29.58M,29.71M
WINT,59.60M,10.82%,13.65M,17.70M
WISA,44.48M,4.79%,9.28M,9.98M
WISH,7.58B,5.01%,366.30M,619.00M
WIX,16.46B,5.12%,54.63M,56.28M
WKEY,104.62M,3.24%,10.56M,19.95M
WKHS,1.93B,36.16%,112.69M,122.63M
WKME,2.41B,-,54.67M,80.74M
WLTW,29.79B,5.14%,128.26M,130.00M
WMG,18.54B,4.13%,94.44M,514.33M
WMPN,180.56M,0.17%,11.12M,14.61M
WNEB,199.19M,3.16%,21.68M,24.49M
WNW,199.75M,-,-,25.00M
WOOF,4.93B,23.88%,54.58M,264.21M
WORX,17.10M,5.56%,7.40M,10.00M
WPRT,864.25M,1.18%,129.86M,168.80M
WRAP,304.22M,15.03%,23.72M,37.62M
WSBC,2.43B,1.30%,66.15M,67.26M
WSC,6.39B,10.82%,167.91M,228.29M
WSFS,2.23B,2.81%,47.00M,47.51M
WTER,140.20M,3.71%,72.41M,73.53M
WTFC,4.35B,2.05%,56.28M,56.90M
WTRH,216.89M,14.08%,102.46M,112.33M
WVE,339.08M,4.37%,47.87M,49.10M
WVVI,67.94M,1.47%,3.82M,4.96M
WW,2.50B,9.35%,52.83M,69.08M
WYNN,14.16B,5.74%,105.42M,111.02M
XAIR,137.81M,20.35%,18.35M,20.76M
XBIO,17.39M,0.48%,7.82M,8.75M
XCUR,134.59M,3.82%,67.30M,87.85M
XEL,36.08B,1.16%,536.63M,538.00M
XELA,125.51M,4.38%,35.12M,50.65M
XELB,51.40M,0.28%,7.15M,19.26M
XENE,757.94M,2.70%,23.58M,36.83M
XENT,600.18M,3.15%,32.60M,33.02M
XERS,276.72M,28.13%,55.36M,61.24M
XFOR,152.58M,6.17%,18.59M,20.75M
XLNX,34.87B,4.34%,245.40M,245.88M
XLRN,7.82B,4.43%,53.32M,60.58M
XM,18.79B,9.43%,64.52M,482.26M
XMTR,2.80B,-,4.20M,40.25M
XNCR,2.08B,5.60%,57.34M,58.00M
XNET,301.18M,2.76%,35.81M,66.88M
XOG,1.49B,0.53%,14.18M,25.50M
XONE,467.33M,8.69%,17.30M,21.04M
XP,23.70B,2.93%,148.91M,559.06M
XPDIU,-,-,-,-
XPEL,2.40B,5.19%,16.44M,27.61M
XPER,2.30B,3.48%,103.67M,104.94M
XRAY,13.98B,1.46%,217.60M,218.80M
XSPA,160.10M,10.20%,105.22M,105.31M
XTLB,21.20M,0.99%,3.49M,5.14M
YELL,347.03M,4.26%,48.50M,50.36M
YGMZ,76.11M,4.04%,7.04M,16.69M
YI,754.54M,2.88%,26.73M,82.79M
YJ,360.50M,2.88%,34.63M,213.48M
YMAB,1.53B,8.20%,36.49M,41.87M
YNDX,25.02B,2.02%,312.27M,355.41M
YQ,642.51M,6.16%,55.61M,187.87M
YSACU
YTEN,44.57M,1.35%,3.80M,4.30M
YTRA,135.10M,0.52%,51.04M,60.95M
YVR,21.91M,4.22%,13.46M,14.33M
YY,5.10B,12.92%,53.98M,82.16M
Z,21.13B,11.75%,177.12M,180.10M
ZBRA,28.47B,0.83%,53.15M,53.48M
ZCMD,43.60M,0.68%,12.21M,24.94M
ZG,29.93B,0.81%,222.69M,243.23M
ZGNX,1.03B,15.24%,55.57M,55.75M
ZGYHR
ZI,20.12B,6.83%,101.36M,178.80M
ZION,8.82B,2.37%,161.32M,163.55M
ZIOP,588.40M,19.14%,194.85M,213.96M
ZIVO,36.08M,0.70%,4.06M,5.20M
ZIXI,406.38M,4.49%,53.44M,54.54M
ZKIN,107.08M,3.47%,13.14M,16.56M
ZLAB,15.47B,2.95%,86.97M,88.38M
ZM,113.87B,5.21%,202.89M,293.80M
ZNGA,11.73B,7.01%,1.02B,1.08B
ZNTE,289.53M,0.47%,23.00M,28.75M
ZNTEU,-,0.00%,20.76M,-
ZNTL,2.13B,7.04%,34.09M,40.36M
ZS,29.28B,8.35%,78.61M,136.38M
ZSAN,99.30M,6.82%,106.07M,106.73M
ZTAQU,-,-,-,-
ZUMZ,1.33B,5.08%,21.96M,25.17M
ZVO,89.00M,4.90%,31.40M,32.77M
ZWRK
ZWRKU,-,0.00%,22.85M,-
ZY,4.11B,2.81%,49.68M,100.33M
ZYNE,220.71M,6.66%,39.13M,40.07M
Symbol,Market Cap,Short Float,Shs Float,Shs Outstand
ABVC,66.42M,4.97%,1.81M,24.42M
AGRI,51.12M,0.07%,12.05M,16.76M
Symbol,Market Cap,Short Float,Shs Float,Shs Outstand
ATXS,90.84M,3.59%,8.29M,12.82M
CEI,75.99M,-,-,58.46M
CEI,75.99M,-,-,58.46M
CEI,75.99M,-,-,58.46M
CRXT,98.59M,-,-,7.25M
CYTO,23.30M,-,-,12.46M
DTST,28.30M,6.46%,3.92M,3.98M
ECHO,1.28B,4.03%,26.02M,26.18M
EFTR,447.85M,3.53%,9.73M,22.56M
ENSC,54.08M,-,-,6.22M
ERYP,90.71M,0.79%,7.46M,22.84M
FWBI,27.88M,-,-,7.81M
GREE,-,-,-,-
GREE,-,-,-,-
GREE,-,-,-,-
GREE,-,-,-,-
GSAT,3.00B,8.01%,728.04M,1.79B
GSAT,3.00B,8.01%,728.04M,1.79B
GSAT,3.00B,8.01%,728.04M,1.79B
HLBZ,315.69M,5.98%,2.96M,5.37M
HLBZ,315.69M,5.98%,2.96M,5.37M
INDP,41.67M,1.43%,2.87M,5.82M
INDP,41.67M,1.43%,2.87M,5.82M
IPHA,472.53M,0.03%,51.13M,78.89M
IPHA,472.53M,0.03%,51.13M,78.89M
IRNT,1.10B,4.54%,53.65M,84.42M
IRNT,1.10B,4.54%,53.65M,84.42M
ITMR,499.81M,1.65%,10.06M,16.39M
JSPR,384.46M,-,-,12.50M
JSPR,384.46M,-,-,12.50M
